IDPlaça	NomPlaça	IDClassePlaça	IDEscala	IDSubEscala	IDClasse	IDCategoria	CategoriaLaboral	GrupClassificacio	IDTipusAcces	IDSistemaAcces	Pressupostat	Ofertable	OPO_Any	Amortitzar	PromocioInterna	DataCreacio	ExpedientCreacio	DataConvocatoria	DataSupressio	ExpedientSupressio	Observacions
140	Oficial de fusteria	2	0	0	0	0		C2	1	13	1	Falso		Falso	Falso						
141	Oficial de construcció	2	0	0	0	0		C2	1	12	1	Falso		Falso	Falso						
142	Oficial de construcció	2	0	0	0	0		C2	1	12	1	Verdadero	2008	Falso	Falso						
143	Subaltern/a	2	0	0	0	0		E	2	13	1	Falso	0	Falso	Falso						
145	Tècnic/a mitjà/ana de gestió	1	2	202	20200	2020000		A2	1	13	1	Verdadero	2008	Falso	Falso						Pressupost 2026: Es modifica plaça 145 Tècnic/a mitjà/ana de serveis personals laboral A2 per convertir-la en Tècnic/a mitjà/ana de gestió funcionari/a i adscriure-la al 1000.09  coordinador/a Alcaldia que ha de ser A2.
146	Monitor/a d'esports	2	0	0	0	0		C1	1	13	1	Falso		Falso	Falso						
147	Tècnic/a auxiliar d'informàtic/a	1	3	302	30203	3020300		C1	1	13	1	Falso		Falso	Falso						Pressupost 2026 es modifica plaça 147 d'aux administratiu laboral a Tècnic/a auxiliar d'informàtic/a funcionari adscrita al lloc 2054.06 com funcionari
148	Administratiu/va	2	0	0	0	0		C1	1	13	1	Falso		Falso	Falso						
149	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Verdadero	2008	Falso	Falso						
150	Tècnic/a mitjà/ana de gestió	1	2	202	20200	2020000		A2	1	13	1	Falso		Falso	Falso						Pressupost 2026 es modifica plaça 150 d'auxiliar d'installacions (C2) laboral a tècnic/a mitjà/ana de gestió funcionari i s'adscriu al lloc 3100.02
152	Monitor/a d'esports	2	0	0	0	0		C1	1	13	0	Falso		Falso	Falso						
153	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
154	Zelador/a auxiliar	2	0	0	0	0		C2	1	13	1	Falso		Falso	Falso						
155	Diplomat/da en treball social	1	3	301	30102	3010201		A2	1	13	1	Verdadero	2010	Falso	Falso						
156	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Verdadero	2008	Falso	Falso						
158	Administratiu/va	2	0	0	0	0		C1	1	13	1	Falso		Falso	Falso						
159	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
160	Tècnic de protocol i comunicació	1	3	301	30102	3010201		A2	1	13	1	Falso		Falso	Falso						Pressupost 2026 es modifica plaça 160 d'aux administratiu laboral a tècnic de protocol i comunicació TAE per adscriura-la al lloc 1020.08 A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
162	Professor/a de música	2	0	0	0	0		A2	1	13	1	Verdadero	2010	Falso	Falso						
163	Professor/a de música	2	0	0	0	0		A2	1	13	1	Verdadero	2008	Falso	Falso						
164	Professor/a de música	2	0	0	0	0		A2	1	13	1	Verdadero	2010	Falso	Falso						
165	Professor/a de música	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
166	Professor/a de música	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
167	Professor/a de música	2	0	0	0	0		A2	1	13	1	Verdadero	2008	Falso	Falso						
168	Professor/a de música	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
169	Professor/a de música	2	0	0	0	0		A2	1	13	1	Verdadero	2008	Falso	Falso						
170	Professor/a de música	2	0	0	0	0		A2	1	13	1	Verdadero	2008	Falso	Falso						
171	Professor/a de música	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
172	Professor/a de música	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
173	Professor/a de música	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
174	Professor/a de música	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
175	Tècnic/a auxiliar de biblioteca	2	0	0	0	0		C1	1	13	1	Falso		Falso	Falso						01-01-2025 es modifica denominació d'Auxiliar tècnic/a de biblioteca a Tècnic/a auxiliar de biblioteca
176	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Verdadero	2008	Falso	Falso						
177	Oficial de pintura	2	0	0	0	0		C2	1	13	1	Falso		Falso	Falso						
178	Subaltern/a	2	0	0	0	0		E	2	13	1	Falso		Falso	Falso						
179	Subaltern/a	1	2	205	20500	2050000		E	2	13	1	Falso		Falso	Falso						
181	Operari/ària	2	0	0	0	0		E	1	13	1	Verdadero	2008	Falso	Falso						
182	Tècnic/a de mobilitat	2	0	0	0	0		A2	2	13	1	Verdadero	2008	Verdadero	Falso						
183	Arquitecte-enginyer/a tècnic/a	1	3	301	30102	3010201		A2	2	13	1	Verdadero	2008	Falso	Falso						
184	Tècnic/a mitjà/ana de formació	1	3	302	30203	3020300		A2	1	13	1	Falso		Falso	Falso						26/05/2025 Ple aprova la modificació d'aquesta plaça que passa d'aux adm (C2) a tècnica (A2) A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
185	Delineant	1	3	301	30103	3010301		C1	1	13	1	Falso		Falso	Falso						
188	Subaltern/a	2	0	0	0	0		E	2	13	1	Falso		Falso	Falso						
190	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Verdadero	2008	Falso	Falso						
191	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	9	31	1	Falso		Falso	Falso						
192	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	9	31	1	Falso		Falso	Falso						
193	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	1	13	1	Verdadero	2008	Falso	Falso						
194	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	1	13	1	Verdadero	2008	Falso	Falso						
196	Auxiliar administratiu/va	1	2	204	20400	2040000		C2	1	13	1	Falso		Falso	Falso						
197	Tècnic/a mitjà/ana de serveis personals	1	3	301	30102	3010201		A2	1	13	1	Falso		Falso	Falso						Aquesta plaça era d'administrativa i en pressupost 2022 es modifica i passa a reconvertir-se en plaça de tècnic En pressupost 2023 es requalifica com a plaça tècnica funcionària
198	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Verdadero	2008	Falso	Falso						
199	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Verdadero	2008	Falso	Falso						
200	Agent	1	3	302	30201	3020108		C1	1	13	1	Falso		Falso	Falso						
203	Subaltern/a	1	2	205	20500	2050000		E	2	13	1	Falso	2008	Falso	Falso						A amortitzar quan es doti la plaça d'Ajudant de Serveis
204	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Falso		Falso	Falso						
205	Tècnic/a mitjà/ana de gestió	1	3	301	30102	3010201		A2	1	13	1	Falso		Falso	Falso						
206	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Verdadero	2008	Falso	Falso						
208	Agent	1	3	302	30201	3020108		C2	2	13	1	Verdadero	2008	Falso	Falso						
209	Agent	1	3	302	30201	3020108		C2	2	13	1	Falso		Falso	Falso						
210	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Verdadero	2008	Falso	Falso						
211	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Verdadero	2008	Falso	Falso						
212	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Falso		Falso	Falso						
213	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Falso		Falso	Falso						
214	Treballador/a familiar	2	0	0	0	0		C2	1	13	1	Falso		Falso	Falso						A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
215	Animador/a sociocultural	2	0	0	0	0		C1	2	13	1	Verdadero	2008	Falso	Falso						
216	Tècnic/a mitjà/ana de gestió	1	2	202	20200	2020000		A2	1	12	1	Falso		Falso	Falso						01-01-2025 Funcionaritzem plaça que ha quedat vacant amb jubilació de Paqui Santana el dia 9/12/2024
217	Tècnic/a mitjà/ana de promoció econòmica	2	0	0	0	0		A2	1	12	1	Falso		Falso	Falso						
221	Subaltern/a	1	2	205	20500	2050000		E	2	13	1	Falso	0	Falso	Falso						
222	Tècnic/a auxiliar de biblioteca	2	0	0	0	0		C1	1	13	1	Falso		Falso	Falso						01-01-2025 es modifica denominació d'Auxiliar tècnic/a de biblioteca a Tècnic/a auxiliar de biblioteca
223	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Falso		Falso	Falso						
224	Sotsinspector/a	1	3	302	30201	3020105		C1	1	13	1	Verdadero		Falso	Falso						Abans era plaça d'inspector a partir dde 01/01/2022 es modifica per passar a ser sots inspector
